epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,131.526,1.68428,0.55107,0.86214,2.30957,0.06775,0.000325758,0.000325758
2,220.98,0.44846,0.69679,0.91643,1.41341,0.0347435,0.000652566,0.000652566
3,325.543,0.34739,0.71607,0.92571,1.21224,0.00173035,0.000972774,0.000972774
4,413.519,0.44194,0.73464,0.945,1.16553,0.0009703,0.0009703,0.0009703
5,504.547,0.3562,0.81714,0.96357,0.76847,0.0009604,0.0009604,0.0009604
6,613.016,0.30392,0.77036,0.96786,1.12012,0.0009505,0.0009505,0.0009505
7,695.677,0.32368,0.75321,0.93357,1.02165,0.0009406,0.0009406,0.0009406
8,789.887,0.33215,0.785,0.94,0.90991,0.0009307,0.0009307,0.0009307
9,891.405,0.34981,0.80821,0.96,0.8077,0.0009208,0.0009208,0.0009208
10,974.733,0.29219,0.77179,0.9425,1.11173,0.0009109,0.0009109,0.0009109
11,1070.25,0.32938,0.76393,0.93821,1.19401,0.000901,0.000901,0.000901
12,1182.74,0.31355,0.78071,0.94357,1.04891,0.0008911,0.0008911,0.0008911
13,1292.64,0.31229,0.79357,0.95143,0.91797,0.0008812,0.0008812,0.0008812
14,1420.72,0.2905,0.80929,0.95607,0.86711,0.0008713,0.0008713,0.0008713
15,1537.52,0.31122,0.80893,0.94929,0.89901,0.0008614,0.0008614,0.0008614
16,1664.08,0.30433,0.76143,0.9425,1.18359,0.0008515,0.0008515,0.0008515
17,1784.39,0.2828,0.78964,0.94393,1.00814,0.0008416,0.0008416,0.0008416
18,1906.55,0.27299,0.8,0.955,0.96126,0.0008317,0.0008317,0.0008317
19,2035.59,0.25291,0.80036,0.94536,1.01139,0.0008218,0.0008218,0.0008218
20,2152.67,0.26652,0.7625,0.95821,1.07308,0.0008119,0.0008119,0.0008119
