epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,183.532,1.3155,0.61549,0.87902,1.55625,0.0672063,0.00033125,0.00033125
2,310.986,0.4966,0.71588,0.92627,1.13867,0.0341997,0.000658004,0.000658004
3,445.417,0.53228,0.63647,0.88255,1.93599,0.00118649,0.000978158,0.000978158
4,565.395,0.55747,0.70961,0.91667,1.23628,0.0009703,0.0009703,0.0009703
5,688.736,0.48664,0.73275,0.92412,1.08577,0.0009604,0.0009604,0.0009604
6,813.268,0.42211,0.71157,0.91118,1.11643,0.0009505,0.0009505,0.0009505
7,941.05,0.45268,0.68608,0.9149,1.41953,0.0009406,0.0009406,0.0009406
8,1071.54,0.40525,0.73314,0.92039,1.25325,0.0009307,0.0009307,0.0009307
9,1217.61,0.4063,0.7098,0.91882,1.26301,0.0009208,0.0009208,0.0009208
10,1337.11,0.41512,0.72373,0.92098,1.11338,0.0009109,0.0009109,0.0009109
11,1456.67,0.42127,0.72255,0.91471,1.18096,0.000901,0.000901,0.000901
12,1609.64,0.39327,0.73039,0.92275,1.23635,0.0008911,0.0008911,0.0008911
13,1762.04,0.40637,0.73059,0.92353,1.15305,0.0008812,0.0008812,0.0008812
14,1926.36,0.37895,0.73902,0.91843,1.18459,0.0008713,0.0008713,0.0008713
15,2089.89,0.37329,0.73392,0.93039,1.14473,0.0008614,0.0008614,0.0008614
16,2251.11,0.38586,0.74882,0.92431,1.09099,0.0008515,0.0008515,0.0008515
17,2415.23,0.37027,0.74176,0.92784,1.10452,0.0008416,0.0008416,0.0008416
18,2581.73,0.38505,0.75765,0.92784,1.01724,0.0008317,0.0008317,0.0008317
19,2737.68,0.3601,0.71745,0.9198,1.18289,0.0008218,0.0008218,0.0008218
20,2858.19,0.3607,0.72196,0.9151,1.18084,0.0008119,0.0008119,0.0008119
21,2972.85,0.34375,0.75529,0.92882,1.01509,0.000802,0.000802,0.000802
22,3093.94,0.36933,0.74706,0.92157,1.21001,0.0007921,0.0007921,0.0007921
23,3209.29,0.3542,0.75549,0.92745,1.09243,0.0007822,0.0007822,0.0007822
24,3329.61,0.35459,0.77118,0.93176,1.02268,0.0007723,0.0007723,0.0007723
25,3447.8,0.32613,0.77255,0.93667,0.94895,0.0007624,0.0007624,0.0007624
26,3569.23,0.32665,0.78078,0.93078,0.96594,0.0007525,0.0007525,0.0007525
27,3687.43,0.311,0.76333,0.93059,1.04966,0.0007426,0.0007426,0.0007426
28,3804.67,0.35014,0.77118,0.94137,0.97671,0.0007327,0.0007327,0.0007327
29,3925.93,0.30104,0.77412,0.93314,0.97153,0.0007228,0.0007228,0.0007228
30,4049.2,0.30444,0.77627,0.93882,1.02244,0.0007129,0.0007129,0.0007129
31,4208.74,0.3036,0.78569,0.93804,0.97375,0.000703,0.000703,0.000703
32,4378.55,0.27048,0.77412,0.92922,1.06306,0.0006931,0.0006931,0.0006931
33,4543.15,0.2974,0.78039,0.93235,0.95903,0.0006832,0.0006832,0.0006832
34,4704.69,0.273,0.78039,0.94118,0.9334,0.0006733,0.0006733,0.0006733
35,4863.76,0.29607,0.78686,0.94137,0.93879,0.0006634,0.0006634,0.0006634
36,5027.83,0.27962,0.79392,0.94569,0.89043,0.0006535,0.0006535,0.0006535
37,5190.01,0.27727,0.77588,0.93549,1.04365,0.0006436,0.0006436,0.0006436
38,5350.04,0.26062,0.79765,0.94647,0.92822,0.0006337,0.0006337,0.0006337
39,5515.88,0.26042,0.77549,0.94137,1.05227,0.0006238,0.0006238,0.0006238
40,5677.32,0.22859,0.80706,0.94941,0.9061,0.0006139,0.0006139,0.0006139
41,5841.63,0.25122,0.79608,0.93882,0.89272,0.000604,0.000604,0.000604
42,6004.52,0.25069,0.79804,0.94588,0.93694,0.0005941,0.0005941,0.0005941
43,6152.96,0.24086,0.80235,0.94235,0.85791,0.0005842,0.0005842,0.0005842
44,6320.9,0.21088,0.8049,0.94451,0.92737,0.0005743,0.0005743,0.0005743
45,6479.94,0.22892,0.80647,0.94686,0.92429,0.0005644,0.0005644,0.0005644
46,6645.11,0.22942,0.79765,0.94235,0.88572,0.0005545,0.0005545,0.0005545
47,6810.51,0.22982,0.79137,0.93882,0.89302,0.0005446,0.0005446,0.0005446
48,6982.05,0.21501,0.79294,0.93922,1.0043,0.0005347,0.0005347,0.0005347
49,7146.72,0.19963,0.79706,0.94314,0.99634,0.0005248,0.0005248,0.0005248
50,7302.95,0.21385,0.80627,0.94059,0.94602,0.0005149,0.0005149,0.0005149
51,7467.28,0.19392,0.80255,0.94078,0.98115,0.000505,0.000505,0.000505
52,7600.79,0.20584,0.79647,0.94314,0.97595,0.0004951,0.0004951,0.0004951
53,7764.3,0.18374,0.80333,0.9449,0.91831,0.0004852,0.0004852,0.0004852
54,7908.35,0.18506,0.80255,0.94314,0.94629,0.0004753,0.0004753,0.0004753
55,8067.62,0.18898,0.79824,0.94078,0.9988,0.0004654,0.0004654,0.0004654
